Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,28.5216,,,18.3217,15.1215,8.0159,8.516,8.7161,6.4213,,
Indonesia,,,,,,,13.62,,,19.42,,,14.52,13.62,12.12,11.72,13.52,12.52,11.62,10.72,9.92,9.22,8.82,8.4106,8.32
Lao People's Democratic Republic,,,26.5133,,,,,22.1133,,,,,19.7133,,,,,17.4133,,,,,10.0214,,
Malaysia,,,4.712,,,3.612,,2.112,,3.312,,,2.312,,2.512,,,2.012,,1.712,,,1.0119,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,38.752,,26.653,,24.054,,19.255,,20.456,,22.357,,17.158,,14.759,,12.36,11.561,10.462,10.963,9.064,9.0209,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,,6.082,,5.4168,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
